chromosome	feature	start	end	strand	C%+G%	Obs/Exp	CGcount	methyl%	gene
chr7	gene	62858392	62859258	+	68.13	0.78	78.0	0.02564	RP11-340I6.3
chr7	transcript	62858392	62859258	+	68.13	0.78	78.0	0.02564	RP11-340I6.3
chr7	gene	62958985	62959934	+	55.43	0.64	46.0	0.0	SEPT7P5
chr7	transcript	62958985	62959934	+	55.43	0.64	46.0	0.0	SEPT7P5
chr7	gene	64335405	64336122	+	57.88	0.73	43.0	0.02326	ZNF273
chr7	transcript	64335405	64336122	+	57.88	0.73	43.0	0.02326	ZNF273
chr7	gene	64337720	64338572	+	59.51	0.73	55.0	0.0	ZNF273
chr7	transcript	64337720	64338572	+	59.51	0.73	55.0	0.0	ZNF273
chr7	gene	64340382	64341088	+	55.24	0.64	34.0	0.01961	ZNF273
chr7	transcript	64340382	64341088	+	55.24	0.64	34.0	0.01961	ZNF273
chr7	gene	64342104	64344357	+	59.34	0.63	125.0	0.09	ZNF273
chr7	transcript	64342104	64344357	+	59.34	0.63	125.0	0.09	ZNF273
chr7	gene	64349347	64350431	+	66.61	0.64	77.0	0.05399	ZNF273
chr7	transcript	64349347	64350431	+	66.61	0.64	77.0	0.05399	ZNF273
chr7	gene	65579011	65580425	+	58.91	0.8	98.0	0.03061	AC068533.7
chr7	transcript	65579011	65580425	+	58.91	0.8	98.0	0.03061	AC068533.7
chr7	gene	65588649	65589395	+	53.75	0.66	35.0	0.05055	AC068533.7
chr7	transcript	65588649	65589395	+	53.75	0.66	35.0	0.05055	AC068533.7
chr7	gene	65588649	65589395	+	53.75	0.66	35.0	0.05055	CRCP
chr7	transcript	65588649	65589395	+	53.75	0.66	35.0	0.05055	CRCP
chr7	gene	65717075	65717617	+	57.2	0.66	29.0	0.03448	TPST1
chr7	transcript	65717075	65717617	+	57.2	0.66	29.0	0.03448	TPST1
chr7	gene	65757379	65758270	+	56.34	0.62	44.0	0.20455	TPST1
chr7	transcript	65757379	65758270	+	56.34	0.62	44.0	0.20455	TPST1
chr7	gene	65871099	65871727	+	52.55	0.6	26.0	0.06731	TPST1
chr7	transcript	65871099	65871727	+	52.55	0.6	26.0	0.06731	TPST1
chr7	gene	65878409	65879493	+	59.59	0.73	70.0	0.04286	TPST1
chr7	transcript	65878409	65879493	+	59.59	0.73	70.0	0.04286	TPST1
chr7	gene	66118475	66120453	+	62.79	0.84	164.0	0.0	KCTD7
chr7	transcript	66118475	66120453	+	62.79	0.84	164.0	0.0	KCTD7
chr7	gene	66146378	66148060	+	64.27	0.85	147.0	0.06066	KCTD7
chr7	transcript	66146378	66148060	+	64.27	0.85	147.0	0.06066	KCTD7
chr7	gene	66170905	66171694	+	50.95	0.82	42.0	0.02381	KCTD7
chr7	transcript	66170905	66171694	+	50.95	0.82	42.0	0.02381	KCTD7
chr7	gene	66170905	66171694	+	50.95	0.82	42.0	0.02381	RABGEF1
chr7	transcript	66170905	66171694	+	50.95	0.82	42.0	0.02381	RABGEF1
chr7	gene	66204960	66206614	+	65.48	0.85	151.0	0.07846	KCTD7
chr7	transcript	66204960	66206614	+	65.48	0.85	151.0	0.07846	KCTD7
chr7	gene	66204960	66206614	+	65.48	0.85	151.0	0.07846	RABGEF1
chr7	transcript	66204960	66206614	+	65.48	0.85	151.0	0.07846	RABGEF1
chr7	gene	66368571	66369613	+	71.79	0.61	76.0	0.0	RP11-458F8.4
chr7	transcript	66368571	66369613	+	71.79	0.61	76.0	0.0	RP11-458F8.4
chr7	exon	66368571	66369613	+	71.79	0.61	76.0	0.0	RP11-458F8.4
chr7	gene	66461104	66462108	+	54.88	0.81	61.0	0.01639	TYW1
chr7	transcript	66461104	66462108	+	54.88	0.81	61.0	0.01639	TYW1
chr7	gene	66483628	66484167	+	51.39	0.62	22.0	0.78696	TYW1
chr7	transcript	66483628	66484167	+	51.39	0.62	22.0	0.78696	TYW1
chr7	gene	69676357	69676968	+	54.66	0.74	33.0	0.19697	AUTS2
chr7	transcript	69676357	69676968	+	54.66	0.74	33.0	0.19697	AUTS2
chr7	gene	69826042	69826566	+	50.19	0.86	28.0	0.0	AUTS2
chr7	transcript	69826042	69826566	+	50.19	0.86	28.0	0.0	AUTS2
chr7	gene	69961104	69962073	+	54.7	1.12	45.0	0.02222	AUTS2
chr7	transcript	69961104	69962073	+	54.7	1.12	45.0	0.02222	AUTS2
chr7	gene	70060835	70061813	+	66.26	0.86	92.0	0.08152	AUTS2
chr7	transcript	70060835	70061813	+	66.26	0.86	92.0	0.08152	AUTS2
chr7	gene	70095902	70096548	+	56.81	0.64	33.0	0.0	AUTS2
chr7	transcript	70095902	70096548	+	56.81	0.64	33.0	0.0	AUTS2
chr7	gene	70158733	70160736	+	72.69	0.98	258.0	0.01262	AUTS2
chr7	transcript	70158733	70160736	+	72.69	0.98	258.0	0.01262	AUTS2
chr7	gene	70230925	70231434	+	60.9	0.65	29.0	0.0	AUTS2
chr7	transcript	70230925	70231434	+	60.9	0.65	29.0	0.0	AUTS2
chr7	gene	70252256	70252813	+	56.55	0.71	31.0	0.03226	AUTS2
chr7	transcript	70252256	70252813	+	56.55	0.71	31.0	0.03226	AUTS2
chr7	gene	70254597	70256005	+	66.34	0.7	106.0	0.0	AUTS2
chr7	transcript	70254597	70256005	+	66.34	0.7	106.0	0.0	AUTS2
chr7	gene	70968789	70969371	+	54.98	0.6	26.0	0.0	WBSCR17
chr7	transcript	70968789	70969371	+	54.98	0.6	26.0	0.0	WBSCR17
chr7	gene	72363833	72364534	+	54.07	0.7	36.0	0.38889	POM121
chr7	transcript	72363833	72364534	+	54.07	0.7	36.0	0.38889	POM121
chr7	gene	72393976	72394781	+	54.91	0.75	45.0	0.04444	POM121
chr7	transcript	72393976	72394781	+	54.91	0.75	45.0	0.04444	POM121
chr7	gene	72395154	72396379	+	64.41	1.02	129.0	0.00775	POM121
chr7	transcript	72395154	72396379	+	64.41	1.02	129.0	0.00775	POM121
chr7	gene	72419177	72419718	+	63.4	0.63	34.0	0.02941	POM121
chr7	transcript	72419177	72419718	+	63.4	0.63	34.0	0.02941	POM121
chr7	exon	72419177	72419718	+	63.4	0.63	34.0	0.02941	POM121
chr7	UTR	72419177	72419718	+	63.4	0.63	34.0	0.02941	POM121
chr7	gene	73098599	73099234	+	59.06	0.77	42.0	0.0	WBSCR22
chr7	transcript	73098599	73099234	+	59.06	0.77	42.0	0.0	WBSCR22
chr7	gene	73099705	73100425	+	54.03	0.75	39.0	0.0	WBSCR22
chr7	transcript	73099705	73100425	+	54.03	0.75	39.0	0.0	WBSCR22
chr7	gene	73481436	73482089	+	54.67	0.61	30.0	0.0	ELN
chr7	transcript	73481436	73482089	+	54.67	0.61	30.0	0.0	ELN
chr7	gene	73497447	73498983	+	73.18	0.69	142.0	0.00704	LIMK1
chr7	transcript	73497447	73498983	+	73.18	0.69	142.0	0.00704	LIMK1
chr7	gene	73616261	73616928	+	56.37	0.86	45.0	0.0	LAT2
chr7	transcript	73616261	73616928	+	56.37	0.86	45.0	0.0	LAT2
chr7	gene	73642374	73643083	+	53.03	0.65	32.0	0.0	LAT2
chr7	transcript	73642374	73643083	+	53.03	0.65	32.0	0.0	LAT2
chr7	gene	73752820	73753452	+	69.3	0.72	54.0	0.00926	CLIP2
chr7	transcript	73752820	73753452	+	69.3	0.72	54.0	0.00926	CLIP2
chr7	gene	73938140	73938846	+	63.17	0.61	42.0	0.0	GTF2IRD1
chr7	transcript	73938140	73938846	+	63.17	0.61	42.0	0.0	GTF2IRD1
chr7	gene	74072080	74073384	+	72.93	0.96	166.0	0.08163	GTF2I
chr7	transcript	74072080	74073384	+	72.93	0.96	166.0	0.08163	GTF2I
chr7	gene	74099723	74100405	+	54.99	0.75	38.0	0.0	GTF2I
chr7	transcript	74099723	74100405	+	54.99	0.75	38.0	0.0	GTF2I
chr7	gene	74324567	74325073	+	52.96	0.65	23.0	0.23478	PMS2P5
chr7	transcript	74324567	74325073	+	52.96	0.65	23.0	0.23478	PMS2P5
chr7	gene	74402255	74402811	+	52.88	0.6	23.0	0.04348	GATSL1
chr7	transcript	74402255	74402811	+	52.88	0.6	23.0	0.04348	GATSL1
chr7	gene	74423185	74423733	+	54.38	0.61	24.0	0.0	GATSL1
chr7	transcript	74423185	74423733	+	54.38	0.61	24.0	0.0	GATSL1
chr7	gene	74425624	74426131	+	55.03	0.63	24.0	0.0	GATSL1
chr7	transcript	74425624	74426131	+	55.03	0.63	24.0	0.0	GATSL1
chr7	gene	75017628	75018793	+	65.75	0.62	78.0	0.05769	STAG3L1
chr7	transcript	75017628	75018793	+	65.75	0.62	78.0	0.05769	STAG3L1
chr7	gene	75130595	75131659	+	57.05	0.64	55.0	0.07273	AC018720.10
chr7	transcript	75130595	75131659	+	57.05	0.64	55.0	0.07273	AC018720.10
chr7	gene	75507837	75509003	+	59.95	0.73	76.0	0.0	RHBDD2
chr7	transcript	75507837	75509003	+	59.95	0.73	76.0	0.0	RHBDD2
chr7	gene	75543934	75545237	+	67.46	0.8	118.0	0.00847	POR
chr7	transcript	75543934	75545237	+	67.46	0.8	118.0	0.00847	POR
chr7	gene	75864000	75864761	+	65.57	0.72	58.0	0.05172	SRRM3
chr7	transcript	75864000	75864761	+	65.57	0.72	58.0	0.05172	SRRM3
chr7	gene	75864949	75865583	+	51.26	0.68	28.0	0.02857	SRRM3
chr7	transcript	75864949	75865583	+	51.26	0.68	28.0	0.02857	SRRM3
chr7	gene	75888958	75890114	+	67.99	0.6	77.0	0.0	SRRM3
chr7	transcript	75888958	75890114	+	67.99	0.6	77.0	0.0	SRRM3
chr7	gene	75896076	75897038	+	65.18	0.8	82.0	0.0061	SRRM3
chr7	transcript	75896076	75897038	+	65.18	0.8	82.0	0.0061	SRRM3
chr7	gene	75910672	75912532	+	72.8	0.84	193.0	0.02073	SRRM3
chr7	transcript	75910672	75912532	+	72.8	0.84	193.0	0.02073	SRRM3
chr7	gene	76145208	76145782	+	64.63	0.65	39.0	0.02564	UPK3B
chr7	transcript	76145208	76145782	+	64.63	0.65	39.0	0.02564	UPK3B
chr7	gene	76178458	76179488	+	67.48	0.75	87.0	0.0	UPK3B
chr7	transcript	76178458	76179488	+	67.48	0.75	87.0	0.0	UPK3B
chr7	gene	76255800	76257236	+	59.96	0.96	124.0	0.02056	UPK3B
chr7	transcript	76255800	76257236	+	59.96	0.96	124.0	0.02056	UPK3B
chr7	gene	76255800	76257236	+	59.96	0.96	124.0	0.02056	AC004980.7
chr7	transcript	76255800	76257236	+	59.96	0.96	124.0	0.02056	AC004980.7
chr7	exon	76255800	76257236	+	59.96	0.96	124.0	0.02056	AC004980.7
chr7	gene	76588979	76589668	+	71.7	0.8	69.0	0.01449	UPK3B
chr7	transcript	76588979	76589668	+	71.7	0.8	69.0	0.01449	UPK3B
chr7	gene	76750697	76751948	+	57.15	0.77	79.0	0.03942	RP11-467H10.2
chr7	transcript	76750697	76751948	+	57.15	0.77	79.0	0.03942	RP11-467H10.2
chr7	gene	77238657	77239194	+	56.24	0.73	31.0	0.0	PTPN12
chr7	transcript	77238657	77239194	+	56.24	0.73	31.0	0.0	PTPN12
chr7	gene	77452244	77452773	+	55.95	0.78	32.0	0.0	PHTF2
chr7	transcript	77452244	77452773	+	55.95	0.78	32.0	0.0	PHTF2
chr7	gene	79082754	79083637	+	68.06	0.75	71.0	0.0	MAGI2-AS3
chr7	transcript	79082754	79083637	+	68.06	0.75	71.0	0.0	MAGI2-AS3
chr7	gene	79763748	79765470	+	65.21	0.89	161.0	0.00621	GNAI1
chr7	gene	86415592	86416335	+	60.7	0.86	58.0	0.01724	GRM3
chr7	transcript	86415592	86416335	+	60.7	0.86	58.0	0.01724	GRM3
chr7	exon	86415592	86416335	+	60.7	0.86	58.0	0.01724	GRM3
chr7	CDS	86415592	86416335	+	60.7	0.86	58.0	0.01724	GRM3
chr7	gene	87256928	87258544	+	67.26	0.8	143.0	0.06294	RUNDC3B
chr7	transcript	87256928	87258544	+	67.26	0.8	143.0	0.06294	RUNDC3B
chr7	gene	87849004	87849595	+	72.25	0.86	66.0	0.03751	AC003991.3
chr7	transcript	87849004	87849595	+	72.25	0.86	66.0	0.03751	AC003991.3
chr7	gene	89840687	89841492	+	67.95	0.84	78.0	0.0	STEAP2
chr7	transcript	89840687	89841492	+	67.95	0.84	78.0	0.0	STEAP2
chr7	gene	89950241	89951076	+	62.75	0.85	69.0	0.0	AC002064.5
chr7	transcript	89950241	89951076	+	62.75	0.85	69.0	0.0	AC002064.5
chr7	gene	90188522	90189069	+	55.03	0.76	31.0	0.0	CDK14
chr7	transcript	90188522	90189069	+	55.03	0.76	31.0	0.0	CDK14
chr7	gene	90225083	90226647	+	67.77	0.94	168.0	0.02183	CDK14
chr7	transcript	90225083	90226647	+	67.77	0.94	168.0	0.02183	CDK14
chr7	gene	91772619	91773190	+	71.63	0.67	49.0	0.0	CTB-161K23.1
chr7	transcript	91772619	91773190	+	71.63	0.67	49.0	0.0	CTB-161K23.1
chr7	gene	91807398	91807984	+	53.07	0.82	34.0	0.0	CTB-161K23.1
chr7	transcript	91807398	91807984	+	53.07	0.82	34.0	0.0	CTB-161K23.1
chr7	gene	91808218	91809191	+	58.99	0.73	62.0	0.09677	CTB-161K23.1
chr7	transcript	91808218	91809191	+	58.99	0.73	62.0	0.09677	CTB-161K23.1
chr7	exon	91808218	91809191	+	58.99	0.73	62.0	0.09677	CTB-161K23.1
chr7	gene	93519367	93520920	+	58.53	0.77	101.0	0.03465	GNGT1
chr7	transcript	93519367	93520920	+	58.53	0.77	101.0	0.03465	GNGT1
chr7	gene	93633440	93634111	+	57.53	0.81	45.0	0.04296	AC006378.2
chr7	transcript	93633440	93634111	+	57.53	0.81	45.0	0.04296	AC006378.2
chr7	gene	94138743	94140174	+	69.25	0.72	123.0	0.05488	CASD1
chr7	transcript	94138743	94140174	+	69.25	0.72	123.0	0.05488	CASD1
chr7	gene	94293211	94294544	+	54.24	0.62	60.0	0.1	PEG10
chr7	transcript	94293211	94294544	+	54.24	0.62	60.0	0.1	PEG10
chr7	exon	94293211	94294544	+	54.24	0.62	60.0	0.1	PEG10
chr7	gene	94536651	94537513	+	73.55	0.83	97.0	0.0	PPP1R9A
chr7	transcript	94536651	94537513	+	73.55	0.83	97.0	0.0	PPP1R9A
chr7	gene	95704911	95705597	+	58.31	0.77	45.0	0.04444	DYNC1I1
chr7	transcript	95704911	95705597	+	58.31	0.77	45.0	0.04444	DYNC1I1
chr7	gene	96635220	96636421	+	67.86	0.78	106.0	0.0	DLX6
chr7	transcript	96635220	96636421	+	67.86	0.78	106.0	0.0	DLX6
chr7	gene	96746504	96747494	+	55.76	0.85	65.0	0.03077	ACN9
chr7	transcript	96746504	96747494	+	55.76	0.85	65.0	0.03077	ACN9
chr7	gene	97362020	97363549	+	60.89	0.74	104.0	0.00962	TAC1
chr7	transcript	97362020	97363549	+	60.89	0.74	104.0	0.00962	TAC1
chr7	gene	97823313	97823856	+	61.51	0.8	41.0	0.14472	LMTK2
chr7	transcript	97823313	97823856	+	61.51	0.8	41.0	0.14472	LMTK2
chr7	exon	97823313	97823856	+	61.51	0.8	41.0	0.14472	LMTK2
chr7	CDS	97823313	97823856	+	61.51	0.8	41.0	0.14472	LMTK2
chr7	gene	97834287	97835367	+	57.59	0.72	64.0	0.01562	LMTK2
chr7	transcript	97834287	97835367	+	57.59	0.72	64.0	0.01562	LMTK2
chr7	gene	97882127	97882634	+	54.83	0.64	24.0	0.08333	BRI3
chr7	transcript	97882127	97882634	+	54.83	0.64	24.0	0.08333	BRI3
chr7	gene	97909964	97911744	+	68.6	0.83	173.0	0.01734	BRI3
chr7	transcript	97909964	97911744	+	68.6	0.83	173.0	0.01734	BRI3
chr7	gene	97919523	97920092	+	58.17	0.63	30.0	0.0	BRI3
chr7	transcript	97919523	97920092	+	58.17	0.63	30.0	0.0	BRI3
chr7	gene	98475662	98477339	+	70.9	0.74	154.0	0.02597	TRRAP
chr7	transcript	98475662	98477339	+	70.9	0.74	154.0	0.02597	TRRAP
chr7	gene	98553679	98554241	+	56.23	0.61	27.0	0.07407	TRRAP
chr7	transcript	98553679	98554241	+	56.23	0.61	27.0	0.07407	TRRAP
chr7	gene	98558998	98559499	+	53.69	0.72	26.0	0.03846	TRRAP
chr7	transcript	98558998	98559499	+	53.69	0.72	26.0	0.03846	TRRAP
chr7	gene	98574637	98575449	+	50.62	0.63	33.0	0.0	TRRAP
chr7	transcript	98574637	98575449	+	50.62	0.63	33.0	0.0	TRRAP
chr7	gene	98579363	98579942	+	57.34	0.63	30.0	0.0	TRRAP
chr7	transcript	98579363	98579942	+	57.34	0.63	30.0	0.0	TRRAP
chr7	gene	98593346	98593990	+	57.3	0.91	30.0	0.04627	TRRAP
chr7	transcript	98593346	98593990	+	57.3	0.91	30.0	0.04627	TRRAP
chr7	gene	98608657	98610185	+	57.13	0.68	85.0	0.02353	TRRAP
chr7	transcript	98608657	98610185	+	57.13	0.68	85.0	0.02353	TRRAP
chr7	gene	98633092	98634095	+	54.84	0.6	45.0	0.0	AC004893.11
chr7	transcript	98633092	98634095	+	54.84	0.6	45.0	0.0	AC004893.11
chr7	exon	98633092	98634095	+	54.84	0.6	45.0	0.0	AC004893.11
chr7	gene	98956240	98956831	+	57.7	0.61	30.0	0.0	ARPC1A
chr7	transcript	98956240	98956831	+	57.7	0.61	30.0	0.0	ARPC1A
chr7	gene	98971095	98973499	+	68.01	0.69	192.0	0.0	ARPC1A
chr7	transcript	98971095	98973499	+	68.01	0.69	192.0	0.0	ARPC1A
chr7	gene	98990068	98991304	+	66.5	0.75	101.0	0.0	ARPC1B
chr7	transcript	98990068	98991304	+	66.5	0.75	101.0	0.0	ARPC1B
chr7	gene	99097065	99098549	+	58.56	0.78	98.0	0.04752	ZNF789
chr7	transcript	99097065	99098549	+	58.56	0.78	98.0	0.04752	ZNF789
chr7	gene	99123689	99124340	+	53.0	0.66	30.0	0.03333	ZKSCAN5
chr7	transcript	99123689	99124340	+	53.0	0.66	30.0	0.03333	ZKSCAN5
chr7	gene	99177574	99178382	+	63.61	0.69	56.0	0.0	GS1-259H13.10
chr7	transcript	99177574	99178382	+	63.61	0.69	56.0	0.0	GS1-259H13.10
chr7	gene	99630312	99631000	+	50.73	0.73	32.0	0.0	ZKSCAN1
chr7	transcript	99630312	99631000	+	50.73	0.73	32.0	0.0	ZKSCAN1
chr7	gene	99653294	99653845	+	56.62	0.65	28.0	0.03571	ZSCAN21
chr7	transcript	99653294	99653845	+	56.62	0.65	28.0	0.03571	ZSCAN21
chr7	gene	99800847	99801454	+	51.73	0.62	25.0	0.0	STAG3
chr7	transcript	99800847	99801454	+	51.73	0.62	25.0	0.0	STAG3
chr7	gene	99979192	99979752	+	73.75	0.65	49.0	0.0	PILRA
chr7	transcript	99979192	99979752	+	73.75	0.65	49.0	0.0	PILRA
chr7	gene	100091143	100091795	+	69.94	0.7	56.0	0.11113	NYAP1
chr7	transcript	100091143	100091795	+	69.94	0.7	56.0	0.11113	NYAP1
chr7	gene	100182885	100184843	+	63.59	0.68	132.0	0.07879	FBXO24
chr7	transcript	100182885	100184843	+	63.59	0.68	132.0	0.07879	FBXO24
chr7	gene	100201485	100203848	+	66.61	0.61	160.0	0.07312	PCOLCE
chr7	transcript	100201485	100203848	+	66.61	0.61	160.0	0.07312	PCOLCE
chr7	gene	100275805	100276389	+	63.18	0.68	39.0	0.07692	GNB2
chr7	transcript	100275805	100276389	+	63.18	0.68	39.0	0.07692	GNB2
chr7	gene	100334903	100335444	+	57.67	0.65	29.0	0.0	ZAN
chr7	transcript	100334903	100335444	+	57.67	0.65	29.0	0.0	ZAN
chr7	gene	100342537	100343384	+	58.32	0.77	55.0	0.01818	ZAN
chr7	transcript	100342537	100343384	+	58.32	0.77	55.0	0.01818	ZAN
chr7	gene	100374370	100375174	+	56.47	0.65	41.0	0.07317	ZAN
chr7	transcript	100374370	100375174	+	56.47	0.65	41.0	0.07317	ZAN
chr7	gene	100434573	100435274	+	56.21	0.72	40.0	0.0	SLC12A9
chr7	transcript	100434573	100435274	+	56.21	0.72	40.0	0.0	SLC12A9
chr7	gene	100436667	100437256	+	57.72	0.68	33.0	0.57359	SLC12A9
chr7	transcript	100436667	100437256	+	57.72	0.68	33.0	0.57359	SLC12A9
chr7	gene	100449773	100450714	+	68.76	0.76	83.0	0.0	SLC12A9
chr7	transcript	100449773	100450714	+	68.76	0.76	83.0	0.0	SLC12A9
chr7	gene	100484313	100484850	+	58.47	0.65	30.0	0.0	SRRT
chr7	transcript	100484313	100484850	+	58.47	0.65	30.0	0.0	SRRT
chr7	gene	100608472	100610035	+	66.67	0.61	106.0	0.0	MUC3A
chr7	transcript	100608472	100610035	+	66.67	0.61	106.0	0.0	MUC3A
chr7	gene	100861224	100861949	+	54.34	0.72	38.0	0.12829	ZNHIT1
chr7	transcript	100861224	100861949	+	54.34	0.72	38.0	0.12829	ZNHIT1
chr7	gene	101464649	101465568	+	53.32	0.74	48.0	0.25	CUX1
chr7	transcript	101464649	101465568	+	53.32	0.74	48.0	0.25	CUX1
chr7	gene	101559779	101560401	+	54.98	0.6	28.0	0.0	CUX1
chr7	transcript	101559779	101560401	+	54.98	0.6	28.0	0.0	CUX1
chr7	gene	101571890	101572489	+	54.42	0.65	29.0	0.0	CUX1
chr7	transcript	101571890	101572489	+	54.42	0.65	29.0	0.0	CUX1
chr7	gene	101649442	101650508	+	52.35	0.6	44.0	0.06818	CUX1
chr7	transcript	101649442	101650508	+	52.35	0.6	44.0	0.06818	CUX1
chr7	gene	101706000	101706530	+	50.38	0.6	20.0	0.25	CUX1
chr7	transcript	101706000	101706530	+	50.38	0.6	20.0	0.25	CUX1
chr7	gene	101789438	101790028	+	51.36	0.64	25.0	0.12	CUX1
chr7	transcript	101789438	101790028	+	51.36	0.64	25.0	0.12	CUX1
chr7	gene	101818880	101819381	+	55.29	0.62	23.0	0.04348	CUX1
chr7	transcript	101818880	101819381	+	55.29	0.62	23.0	0.04348	CUX1
chr7	gene	101838614	101839758	+	60.84	0.73	77.0	0.0	CUX1
chr7	transcript	101838614	101839758	+	60.84	0.73	77.0	0.0	CUX1
chr7	gene	101840323	101841108	+	53.12	0.63	35.0	0.1605	CUX1
chr7	transcript	101840323	101841108	+	53.12	0.63	35.0	0.1605	CUX1
chr7	gene	101870403	101870966	+	51.87	0.67	25.0	0.0	CUX1
chr7	transcript	101870403	101870966	+	51.87	0.67	25.0	0.0	CUX1
chr7	gene	101882510	101883387	+	58.72	0.6	45.0	0.02222	CUX1
chr7	transcript	101882510	101883387	+	58.72	0.6	45.0	0.02222	CUX1
chr7	gene	101891325	101892742	+	70.78	0.77	136.0	0.02158	CUX1
chr7	transcript	101891325	101892742	+	70.78	0.77	136.0	0.02158	CUX1
chr7	gene	101929165	101931237	+	73.5	0.71	199.0	0.01759	SH2B2
chr7	transcript	101929165	101931237	+	73.5	0.71	199.0	0.01759	SH2B2
chr7	gene	101943757	101945019	+	67.04	0.87	123.0	0.0	SH2B2
chr7	transcript	101943757	101945019	+	67.04	0.87	123.0	0.0	SH2B2
chr7	gene	102036471	102037224	+	63.61	0.79	60.0	0.15	PRKRIP1
chr7	transcript	102036471	102037224	+	63.61	0.79	60.0	0.15	PRKRIP1
chr7	gene	103969671	103970227	+	67.63	0.74	45.0	0.0	LHFPL3
chr7	transcript	103969671	103970227	+	67.63	0.74	45.0	0.0	LHFPL3
chr7	gene	104600556	104601060	+	53.17	0.65	23.0	0.08696	RP11-325F22.2
chr7	transcript	104600556	104601060	+	53.17	0.65	23.0	0.08696	RP11-325F22.2
chr7	gene	105596211	105596734	+	73.23	0.71	50.0	0.0	CDHR3
chr7	transcript	105596211	105596734	+	73.23	0.71	50.0	0.0	CDHR3
chr7	gene	105609262	105609999	+	54.0	0.76	40.0	0.025	CDHR3
chr7	transcript	105609262	105609999	+	54.0	0.76	40.0	0.025	CDHR3
chr7	gene	106507815	106509139	+	60.42	0.73	88.0	0.0	PIK3CG
chr7	transcript	106507815	106509139	+	60.42	0.73	88.0	0.0	PIK3CG
chr7	gene	107204115	107204863	+	65.24	0.77	61.0	0.01366	DUS4L
chr7	transcript	107204115	107204863	+	65.24	0.77	61.0	0.01366	DUS4L
chr7	gene	107384386	107385205	+	59.83	0.74	54.0	0.0	CBLL1
chr7	transcript	107384386	107385205	+	59.83	0.74	54.0	0.0	CBLL1
chr7	gene	112090020	112091538	+	64.43	0.81	127.0	0.0378	IFRD1
chr7	transcript	112090020	112091538	+	64.43	0.81	127.0	0.0378	IFRD1
chr7	gene	116139367	116140612	+	68.59	0.77	113.0	0.00885	CAV2
chr7	transcript	116139367	116140612	+	68.59	0.77	113.0	0.00885	CAV2
chr7	gene	116165432	116166925	+	63.76	0.79	119.0	0.05084	CAV1
chr7	transcript	116165432	116166925	+	63.76	0.79	119.0	0.05084	CAV1
chr7	gene	116502333	116503179	+	73.17	0.88	98.0	0.0	CAPZA2
chr7	transcript	116502333	116503179	+	73.17	0.88	98.0	0.0	CAPZA2
chr7	gene	117119377	117119997	+	61.45	0.8	43.0	0.09302	CFTR
chr7	transcript	117119377	117119997	+	61.45	0.8	43.0	0.09302	CFTR
chr7	gene	119914633	119915737	+	55.89	0.73	63.0	0.02855	KCND2
chr7	transcript	119914633	119915737	+	55.89	0.73	63.0	0.02855	KCND2
chr7	exon	119914633	119915737	+	55.89	0.73	63.0	0.02855	KCND2
chr7	gene	120699880	120700425	+	73.21	0.63	46.0	0.0	CPED1
chr7	transcript	120699880	120700425	+	73.21	0.63	46.0	0.0	CPED1
chr7	gene	120969533	120970762	+	59.32	0.79	85.0	0.0	WNT16
chr7	transcript	120969533	120970762	+	59.32	0.79	85.0	0.0	WNT16
chr7	gene	121945148	121946682	+	59.78	0.77	105.0	0.0	FEZF1-AS1
chr7	transcript	121945148	121946682	+	59.78	0.77	105.0	0.0	FEZF1-AS1
chr7	gene	127668929	127669749	+	56.34	0.6	38.0	0.0	SND1
chr7	transcript	127668929	127669749	+	56.34	0.6	38.0	0.0	SND1
chr7	gene	127670170	127671046	+	60.62	0.61	49.0	0.0	SND1
chr7	transcript	127670170	127671046	+	60.62	0.61	49.0	0.0	SND1
chr7	gene	127671159	127673223	+	73.06	0.92	252.0	0.0	SND1
chr7	transcript	127671159	127673223	+	73.06	0.92	252.0	0.0	SND1
chr7	gene	128102882	128103871	+	66.84	0.6	66.0	0.0	RP11-212P7.3
chr7	transcript	128102882	128103871	+	66.84	0.6	66.0	0.0	RP11-212P7.3
chr7	gene	128102882	128103871	+	66.84	0.6	66.0	0.0	RP11-155G14.6
chr7	transcript	128102882	128103871	+	66.84	0.6	66.0	0.0	RP11-155G14.6
chr7	gene	128116561	128117342	+	62.74	0.82	62.0	0.0	RP11-212P7.3
chr7	transcript	128116561	128117342	+	62.74	0.82	62.0	0.0	RP11-212P7.3
chr7	gene	128180041	128180590	+	53.73	0.62	24.0	0.0	RP11-274B21.1
chr7	transcript	128180041	128180590	+	53.73	0.62	24.0	0.0	RP11-274B21.1
chr7	gene	128211404	128211984	+	53.62	0.6	25.0	0.0	RP11-274B21.1
chr7	transcript	128211404	128211984	+	53.62	0.6	25.0	0.0	RP11-274B21.1
chr7	gene	128317227	128317759	+	56.58	0.8	34.0	0.0	FAM71F2
chr7	transcript	128317227	128317759	+	56.58	0.8	34.0	0.0	FAM71F2
chr7	gene	128437896	128438607	+	54.15	0.63	33.0	0.0	CCDC136
chr7	transcript	128437896	128438607	+	54.15	0.63	33.0	0.0	CCDC136
chr7	gene	128979782	128980443	+	55.22	0.8	40.0	0.0	AHCYL2
chr7	transcript	128979782	128980443	+	55.22	0.8	40.0	0.0	AHCYL2
chr7	gene	129115777	129117027	+	67.84	0.62	89.0	0.0	STRIP2
